nhpd_id,cousub_name,nhpd_lat,nhpd_lon,ncessch,school_merge,zo_usety,zuse_merge,reg_type,l_r_fid,zone_merge
1050831,BOSTON,42.33529,-71.07638,BOSTON,both,1,both,380,7860,both
1050951,BOSTON,42.34492,-71.0883,BOSTON,both,1,both,482,8602,both
1050394,BOSTON,42.30201,-71.07851,BOSTON,both,1,both,56,4031,both
1146550,BOSTON,42.254656,-71.118946,BOSTON,both,3,both,355,7740,both
1018808,BOSTON,42.348308,-71.064713,BOSTON,both,3,both,120,5009,both
1023699,BOSTON,42.331625,-71.052935,BOSTON,both,1,both,160,5169,both
1051679,BOSTON,42.325392,-71.052605,BOSTON,both,1,both,404,8037,both
1050339,BOSTON,42.37926,-71.05609,BOSTON,both,3,both,384,7908,both
1019061,BOSTON,42.30395,-71.05841,BOSTON,both,1,both,159,5135,both
1050979,BOSTON,42.36828,-71.03799,BOSTON,both,1,both,60,4070,both
1013465,BOSTON,42.292366,-71.093617,BOSTON,both,3,both,377,7856,both
1003361,BOSTON,42.35183,-71.06084,BOSTON,both,3,both,452,8530,both
1014297,BOSTON,42.3523,-71.0595,BOSTON,both,3,both,492,8614,both
1050751,BOSTON,42.29849,-71.05998,BOSTON,both,1,both,56,4026,both
1146542,BOSTON,42.296508,-71.068849,BOSTON,both,1,both,259,6619,both
1050445,BOSTON,42.37308,-71.061,BOSTON,both,3,both,282,7073,both
1154034,BOSTON,42.294985,-71.074245,BOSTON,both,1,both,39,3692,both
1050609,BOSTON,42.32976,-71.10421,BOSTON,both,1,both,256,6499,both
1052359,BOSTON,42.33239,-71.10931,BOSTON,both,1,both,273,6917,both
1051718,BOSTON,42.334595,-71.095398,BOSTON,both,1,both,256,6507,both
1050497,BOSTON,42.31422,-71.11149,BOSTON,both,1,both,252,6415,both
1023686,BOSTON,42.331145,-71.051391,BOSTON,both,1,both,160,5169,both
1050955,BOSTON,42.38356,-71.07928,BOSTON,both,1,both,408,8159,both
1013319,BOSTON,42.322952,-71.07747,BOSTON,both,1,both,9,2715,both
1008317,BOSTON,42.3223,-71.07869,BOSTON,both,1,both,9,2715,both
