station_id,station_name,line,layer,station_lat,station_lon,geometry,length_m,error
291,NORTH WILMINGTON,COMMUTER RAIL,TRAIN_NODES,42.56895664640185,-71.15915670296741,POINT (-71.15915670296741 42.56895664640185),28321.0,
292,WEDGEMERE,COMMUTER RAIL,TRAIN_NODES,42.44490348792281,-71.14010093079607,POINT (-71.14010093079607 42.44490348792281),13581.0,
293,ANDERSON/WOBURN,COMMUTER RAIL,TRAIN_NODES,42.51575554413321,-71.14369358400853,POINT (-71.14369358400853 42.51575554413321),22365.0,
294,PLYMOUTH,COMMUTER RAIL,TRAIN_NODES,41.980569782482846,-70.6888860170704,POINT (-70.6888860170704 41.98056978248285),61009.0,
295,LOWELL,COMMUTER RAIL,TRAIN_NODES,42.63645915613906,-71.31503413172172,POINT (-71.31503413172172 42.63645915613906),42824.0,
296,CANTON CENTER,COMMUTER RAIL,TRAIN_NODES,42.156753542523205,-71.14556889332316,POINT (-71.14556889332316 42.15675354252321),25151.0,
300,SOUTH ATTLEBORO,COMMUTER RAIL,TRAIN_NODES,41.89779575439436,-71.35494410949791,POINT (-71.35494410949791 41.89779575439436),85730.0,
301,MANSFIELD,COMMUTER RAIL,TRAIN_NODES,42.03278382374011,-71.21992622320674,POINT (-71.21992622320674 42.03278382374011),39968.0,
302,CANTON JUNCTION,COMMUTER RAIL,TRAIN_NODES,42.16364898479034,-71.1538998073944,POINT (-71.1538998073944 42.16364898479034),24173.0,
305,NORTH BEVERLY,COMMUTER RAIL,TRAIN_NODES,42.58292594334343,-70.88388015134055,POINT (-70.88388015134055 42.58292594334343),35472.0,
306,READVILLE,COMMUTER RAIL,TRAIN_NODES,42.23816470779416,-71.13397938974262,POINT (-71.13397938974262 42.23816470779416),15162.0,
321,WALTHAM,COMMUTER RAIL,TRAIN_NODES,42.37410934367113,-71.23652398346752,POINT (-71.23652398346752 42.37410934367113),18126.0,
322,CONCORD,COMMUTER RAIL,TRAIN_NODES,42.45707305350235,-71.35876783160623,POINT (-71.35876783160623 42.45707305350235),34486.0,
323,LINCOLN,COMMUTER RAIL,TRAIN_NODES,42.414039263432585,-71.32585747309088,POINT (-71.32585747309088 42.41403926343258),28948.0,
324,HASTINGS,COMMUTER RAIL,TRAIN_NODES,42.38584718815791,-71.28916120620144,POINT (-71.28916120620144 42.38584718815791),24634.0,
