station_id,station_name,line,layer,station_lat,station_lon,geometry
70,SHARON,COMMUTER RAIL,TRAIN_NODES,42.12480455330217,-71.1842842159819,POINT (-71.1842842159819 42.12480455330217)
71,NORWOOD CENTRAL,COMMUTER RAIL,TRAIN_NODES,42.18878272018518,-71.19970353323912,POINT (-71.19970353323912 42.18878272018518)
72,BEVERLY,COMMUTER RAIL,TRAIN_NODES,42.54790793622569,-70.88530473096803,POINT (-70.88530473096803 42.54790793622569)
73,BRAINTREE,COMMUTER RAIL,TRAIN_NODES,42.20829460708952,-71.00136593990844,POINT (-71.00136593990844 42.20829460708952)
74,ATTLEBORO,COMMUTER RAIL,TRAIN_NODES,41.94173172214709,-71.2843398337001,POINT (-71.2843398337001 41.94173172214709)
75,COHASSET,COMMUTER RAIL,TRAIN_NODES,42.244176073296096,-70.83712741484403,POINT (-70.83712741484403 42.2441760732961)
76,WEST HINGHAM,COMMUTER RAIL,TRAIN_NODES,42.23612725176445,-70.90264211217715,POINT (-70.90264211217715 42.23612725176445)
77,FITCHBURG,COMMUTER RAIL,TRAIN_NODES,42.581073508931915,-71.79361194924593,POINT (-71.79361194924593 42.58107350893192)
78,TALBOT AVENUE,COMMUTER RAIL,TRAIN_NODES,42.29246325897736,-71.0782511262178,POINT (-71.07825112621779 42.29246325897736)
79,UPHAMS CORNER,COMMUTER RAIL,TRAIN_NODES,42.31908770123812,-71.06864081098963,POINT (-71.06864081098963 42.31908770123812)
80,READVILLE,COMMUTER RAIL,TRAIN_NODES,42.2378836211423,-71.13323807576303,POINT (-71.13323807576303 42.2378836211423)
81,BLUE HILL AVENUE,COMMUTER RAIL,TRAIN_NODES,42.27143625585188,-71.09581488515508,POINT (-71.09581488515508 42.27143625585188)
82,DEDHAM CORP. CENTER,COMMUTER RAIL,TRAIN_NODES,42.22745595195094,-71.1734631441617,POINT (-71.1734631441617 42.22745595195094)
83,ANDOVER,COMMUTER RAIL,TRAIN_NODES,42.658148028383415,-71.14454072277074,POINT (-71.14454072277074 42.65814802838342)
84,BALLARDVALE,COMMUTER RAIL,TRAIN_NODES,42.626985291897086,-71.15986460186389,POINT (-71.15986460186389 42.62698529189709)
85,FORGE PARK/495,COMMUTER RAIL,TRAIN_NODES,42.089846473263236,-71.43999134938366,POINT (-71.43999134938366 42.08984647326324)
86,GLOUCESTER,COMMUTER RAIL,TRAIN_NODES,42.61670619140711,-70.66581685535273,POINT (-70.66581685535273 42.61670619140711)
87,HAVERHILL,COMMUTER RAIL,TRAIN_NODES,42.77456026597318,-71.08646942663044,POINT (-71.08646942663044 42.77456026597318)
88,LYNN,COMMUTER RAIL,TRAIN_NODES,42.46197533694369,-70.94732925815035,POINT (-70.94732925815035 42.46197533694369)
89,WYOMING HILL,COMMUTER RAIL,TRAIN_NODES,42.452026980797996,-71.069312788607,POINT (-71.06931278860699 42.452026980798)
90,NATICK CENTER,COMMUTER RAIL,TRAIN_NODES,42.28563587557523,-71.347975703966,POINT (-71.347975703966 42.28563587557523)
91,WEYMOUTH LANDING/EAST BRAINTREE,COMMUTER RAIL,TRAIN_NODES,42.22186590871483,-70.96696471125203,POINT (-70.96696471125203 42.22186590871483)
92,NORTH WILMINGTON,COMMUTER RAIL,TRAIN_NODES,42.56895664640185,-71.15915670296741,POINT (-71.15915670296741 42.56895664640185)
93,WEDGEMERE,COMMUTER RAIL,TRAIN_NODES,42.44490348792281,-71.14010093079607,POINT (-71.14010093079607 42.44490348792281)
94,ANDERSON/WOBURN,COMMUTER RAIL,TRAIN_NODES,42.51575554413321,-71.14369358400853,POINT (-71.14369358400853 42.51575554413321)
95,PLYMOUTH,COMMUTER RAIL,TRAIN_NODES,41.980569782482846,-70.6888860170704,POINT (-70.6888860170704 41.98056978248285)
96,LOWELL,COMMUTER RAIL,TRAIN_NODES,42.63645915613906,-71.31503413172172,POINT (-71.31503413172172 42.63645915613906)
97,CANTON CENTER,COMMUTER RAIL,TRAIN_NODES,42.156753542523205,-71.14556889332316,POINT (-71.14556889332316 42.15675354252321)
98,SOUTH ATTLEBORO,COMMUTER RAIL,TRAIN_NODES,41.89779575439436,-71.35494410949791,POINT (-71.35494410949791 41.89779575439436)
99,MANSFIELD,COMMUTER RAIL,TRAIN_NODES,42.03278382374011,-71.21992622320674,POINT (-71.21992622320674 42.03278382374011)
100,CANTON JUNCTION,COMMUTER RAIL,TRAIN_NODES,42.16364898479034,-71.1538998073944,POINT (-71.1538998073944 42.16364898479034)
101,NORTH BEVERLY,COMMUTER RAIL,TRAIN_NODES,42.58292594334343,-70.88388015134055,POINT (-70.88388015134055 42.58292594334343)
102,READVILLE,COMMUTER RAIL,TRAIN_NODES,42.23816470779416,-71.13397938974262,POINT (-71.13397938974262 42.23816470779416)
103,WALTHAM,COMMUTER RAIL,TRAIN_NODES,42.37410934367113,-71.23652398346752,POINT (-71.23652398346752 42.37410934367113)
104,CONCORD,COMMUTER RAIL,TRAIN_NODES,42.45707305350235,-71.35876783160623,POINT (-71.35876783160623 42.45707305350235)
105,LINCOLN,COMMUTER RAIL,TRAIN_NODES,42.414039263432585,-71.32585747309088,POINT (-71.32585747309088 42.41403926343258)
106,HASTINGS,COMMUTER RAIL,TRAIN_NODES,42.38584718815791,-71.28916120620144,POINT (-71.28916120620144 42.38584718815791)
107,WAVERLEY,COMMUTER RAIL,TRAIN_NODES,42.38763534853575,-71.19059628256672,POINT (-71.19059628256672 42.38763534853575)
108,PORTER SQUARE,COMMUTER RAIL,TRAIN_NODES,42.388397572820864,-71.11940725458233,POINT (-71.11940725458233 42.38839757282086)
109,LITTLETON/ROUTE 495,COMMUTER RAIL,TRAIN_NODES,42.519294874135426,-71.50248772910989,POINT (-71.50248772910989 42.51929487413543)
110,SOUTH ACTON,COMMUTER RAIL,TRAIN_NODES,42.46035517108453,-71.45790442315958,POINT (-71.45790442315958 42.46035517108453)
111,WEST CONCORD,COMMUTER RAIL,TRAIN_NODES,42.45707367176413,-71.392724025223,POINT (-71.392724025223 42.45707367176413)
112,SILVER HILL,COMMUTER RAIL,TRAIN_NODES,42.39568317703269,-71.3021092532709,POINT (-71.3021092532709 42.39568317703269)
113,KENDAL GREEN,COMMUTER RAIL,TRAIN_NODES,42.37977784071721,-71.28321535644922,POINT (-71.28321535644922 42.37977784071721)
114,BRANDEIS/ROBERTS,COMMUTER RAIL,TRAIN_NODES,42.361924444493596,-71.26010669404783,POINT (-71.26010669404783 42.3619244444936)
115,BELMONT,COMMUTER RAIL,TRAIN_NODES,42.39601733906687,-71.17582300056588,POINT (-71.17582300056588 42.39601733906687)
116,NORTH LEOMINSTER,COMMUTER RAIL,TRAIN_NODES,42.54006555237639,-71.73985693037085,POINT (-71.73985693037085 42.54006555237639)
117,AYER,COMMUTER RAIL,TRAIN_NODES,42.55906538713207,-71.58864922474248,POINT (-71.58864922474248 42.55906538713207)
118,NORWOOD DEPOT,COMMUTER RAIL,TRAIN_NODES,42.1963099139796,-71.19692550404591,POINT (-71.19692550404591 42.1963099139796)
119,MISHAWUM,COMMUTER RAIL,TRAIN_NODES,42.503069655888545,-71.13695782078237,POINT (-71.13695782078237 42.50306965588855)
120,MALDEN CENTER,COMMUTER RAIL,TRAIN_NODES,42.42658622607523,-71.07425997463095,POINT (-71.07425997463095 42.42658622607523)
